ID,Sentence_Type,Sentence_Original,STANDARD_TRANSCRIPT,vosk-model-small-en-us-0.15,Wav2vec2,HuBERT,Whisper_Base-En,Whisper_Large-v3-EN,Azure
1,interrogative,HOW DO WE GET THERE?,HOW DO WE GET THERE,OH DO WE GET THERE,OLL DULY GET THERE,HOW DO WE GET THERE, OH DO WE GET THERE,HOW DO WE GET THERE,HOW DO WE GET THERE
2,declaritive,GOOD AFTERNOON.,GOOD AFTERNOON,GOOD AFTERNOON,AN WHAT  AV TON YE,GOOODA AFTERMEN, COME ON AFTER ME,GOOD AFTERNOON,GOOD AFTERNOON
3,declaritive,THIS IS KUMAR.,THIS IS KUMAR,DCS KUMAR,THEY SAYS CUMAR,THEY SAYS KOUMAR, THIS IS KUMAR,THIS IS KUMAR,THIS IS KUMAR
4,declaritive,I THINK SO.,I THINK SO,HELLO GAMES GO,AND GAN STYLE,A GAMESTALL, TAKE THE INSULT,I THINK SO,I THINK SO
5,exclamatory,WATCH OUT!,WATCH OUT,WATCH OUT,WATCH OUT,WATCH OUT, WATCH OUT,WATCH OUT,WATCH OUT
6,declaritive,HE IS A NEW STUDENT.,HE IS A NEW STUDENT,HE IS ON THE NEWS TO THE,HE IS AN A NEWR STUDEN,HE IS A NED TO TENT, HE IS A NEW STUDENT,HE IS A NEW STUDENT,HE IS A NEW STUDENT
7,interrogative,ANYTHING ELSE?,ANYTHING ELSE,ANYTHING ELSE,A DN S,ANYTHING ELSE, ANYTHING ELSE,ANYTHING ELSE,ANYTHING ELSE
8,exclamatory,OUR TEAM IS THE BEST!,OUR TEAM IS THE BEST,RIGHT P IS THAT BASS,ARANTIN IS THE BAT,OUR TEAM IS THE BEST, OUR TEAM IS THE BEST,OUR TEAM IS THE BEST,OUR TEAM IS THE BEST
9,interrogative,WHERE ARE THE ANIMALS?,WHERE ARE THE ANIMALS,THERE AREN'T ANY RULES,ARN THE ANNALS,ERAARD DIANUS, OUR THE ANIMALS,THERE ARE THE ANIMALS,WHERE ARE THE ANIMALS
10,declaritive,FOLLOW ME.,FOLLOW ME,OH NO,ALO ME,FOLLOW ME, FOLLOW ME,FOLLOW ME,FOLLOW ME
11,exclamatory,"YES, LET'S GO!",YES LET'S GO,YES GLASGOW,YES GLAS GO,YES LET'S GO, YES LET'S GO,YES LET'S GO,YES LET'S GO
12,interrogative,CAN WE HAVE THREE SODAS?,CAN WE HAVE THREE SODAS,HENRY HAVE THREE SO THERE'S,CAN WE HAVE TO BE SIL THUS,HENRE HAVE TO RE SOWD US, CAN WE HAVE THREE SODAS,CAN WE HAVE THREE SODAS,CAN WE HAVE THREE SODAS
13,declaritive,YOU'RE WELCOME.,YOU'RE WELCOME,HE ARRIVED COM,HERA RAT COM,YAR RAK CUB, YOU'RE A RAT COME,YOUR RECORD,YOU'RE WELCOME
14,interrogative,WHAT'S YOUR NAME?,WHAT'S YOUR NAME,WHAT'S YOUR NAME,ONE TURMED NAME,WHAT'S YER NAME, WHAT'S YOUR NAME,WHAT'S HER NAME,WHAT'S YOUR NAME
15,declaritive,I LIKE SOCCER.,I LIKE SOCCER,I LIKE A CIRCUS,I LIKE A SARCOURS,I LIKE A CIRCOURSE, I LIKE THE SURF COURSE,I LIKE CIRCUS,I LIKE SOCCER
16,declaritive,NOW I KNOW ABOUT MANY ANIMALS.,NOW I KNOW ABOUT MANY ANIMALS,NOW I KNOW AIRBORNE MANY ANIMALS,NOW I KNOW EBBER MANY ANMA,NOW I KNOW ABOR MANY ANIMALS, NOW I KNOW ABOUT MANY ANIMALS,NOW I KNOW ABOUT MANY ANIMALS,NOW I KNOW ABOUT MANY ANIMALS
17,declaritive,I AM SAD.,I AM SAD,I IS THAT,I OW TAT,I AW SAT, I AM SAD,I AM SAD,I AM SAD
18,interrogative,ARE YOU STILL TIRED?,ARE YOU STILL TIRED,ARE YOU STILL PIE YO,I'LL USE TALL PIE YON,ALL YOU TELL PIYO, I'LL USE TAILPILE,ARE YOU STILL TIRED,ARE YOU STILL TIRED
19,declaritive,WE HAVE OUR THIRD MESSAGE.,WE HAVE OUR THIRD MESSAGE,THE HAVE OUR THIRD,BE NO OR THORITOASSIT,WE HAVE OUR THOR DEMASSIC, WE HAVE OUR THIRD MISSION,WE HAVE OUR THIRD MESSAGE,WE HAVE OUR THIRD MESSAGE
20,declaritive,"FIFTEEN DOLLARS, PLEASE.",FIFTEEN DOLLARS PLEASE,FIFTEEN DOLLARS PLEASE,FIFTY THOU AR PLAYS,FESTIN THA OUR PLACE,FIFTY DOLLARS PLEASE,FIFTEEN DOLLARS PLACE,FIFTEEN DOLLARS PLEASE
21,declaritive,LET'S MEET AT THE OCEAN PARK.,LET'S MEET AT THE OCEAN PARK,VERY SOON AFTER ALL ALSO,FANSINO ATTE ORAM PA,RETINO AT TE OUAM PARK, THANKS FOR WATCHING,LET'S MEET AT THE OCEAN PARK,LET'S MEET AT THE OCEAN PARK
22,declaritive,IT'S OVER THERE.,IT'S OVER THERE,IT'S OVER THERE,IT OVER BAN,IT'S OVER THERE, IT'S OVER THERE,IT'S OVER THERE,IT'S OVER THERE
23,declaritive,LET'S GO HOME.,LET'S GO HOME,THAT'S COOL,YOREGEFOR,MAGICAL, LET'S GO HOME,LET'S GO HOME,LET'S GO HOME
24,declaritive,THAT'S A GOOD PRICE.,THAT'S A GOOD PRICE,THAT'S A GOOD FLIES,THATO GOOD MIE,THAT'S A GOOD PLICE, THAT'S A GOOD PLACE,THAT'S A GOOD PLACE,THAT'S A GOOD PRICE
25,declaritive,I'M READY TO GO.,I'M READY TO GO,I'M READY TO GO,I'M RUADY TO GO,I'M READY TO GO, I'M READY TO GO,I'M READY TO GO,I'M READY TO GO
26,declaritive,TURN RIGHT.,TURN RIGHT,GO RIGHT,OH WHY,CORIGHT, ALRIGHT,CALL ME RIGHT,TURN RIGHT
27,interrogative,DO YOU LIKE PASTA?,DO YOU LIKE PASTA,THREE YEAR LIKE PASSED DOWN,TO YOU LIKE PATTA,TO A YOUNG LIKE PASTAR, DO YOU LIKE PASTA,DO YOU LIKE PASTA,DO YOU LIKE PASTA
28,interrogative,HOW ARE YOU?,HOW ARE YOU,HOW ARE YOU,HOW ARE YOU,HOW ARE YOU, HOW ARE YOU,HOW ARE YOU,HOW ARE YOU
29,declaritive,I'M HAPPY TO JOIN.,I'M HAPPY TO JOIN,I AS THE TO JOHN,I MATI TO JOIN,I'M HAPPY TO JOIN, I MAY HAVE BEEN TOO STRONG,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN
30,declaritive,WE HAVE THE NEXT MESSAGE.,WE HAVE THE NEXT MESSAGE,WE HAVE DONE MASK MESSAGE,REA WIT THE NASK MASSAGE,WE HAVE A NICE MESSAT, WE HAVE A NICE MESSAGE,WE HAVE THE NEXT MESSAGE,WE HAVE THE NEXT MESSAGE
31,declaritive,IT'S TIME FOR DINNER.,IT'S TIME FOR DINNER,IT'S TIME FOR A FEE KNOW,AT A TIME BEFORE GINAR,AT TIME FOR DINNER, AT TIME FOR DINNER,IT'S TIME FOR DINNER,IT'S TIME FOR DINNER
32,declaritive,SOUNDS LIKE FUN.,SOUNDS LIKE FUN,SOUNDS A LITTLE LIKE YOUR PHONE,SOUNDS LITTLE WHILE YOUR FAR,SOUNDS IT LIKE A FAWN, SOUNDS A LITTLE LIKE A FARM,SOUNDS LIKE FUN,SOUNDS LIKE FUN
33,declaritive,IT'S TIME FOR DINNER.,IT'S TIME FOR DINNER,EACH TIME FOR DINNER,IT KI WHOAR DINAR,IT TIME FOR DINNER, IT'S TIME FOR DINNER,IT'S TIME FOR DINNER,IT'S TIME FOR DINNER
34,declaritive,GOOD AFTERNOON.,GOOD AFTERNOON,GOOD AFTERNOON,LAV THEN YUN,GDAFTENUN, GOOD AFTERNOON,GOOD AFTERNOON,GOOD AFTERNOON
35,interrogative,IS THE MUSEUM CLOSED TOMORROW?,IS THE MUSEUM CLOSED TOMORROW,THERE THERE ARE IN A YOUNG GIRLS TOMORROW,AND THAT IL NO THE ON CLOTE TO MORROW,AN THAT I NE VE UNCLOSED TO MORROW, THERE'S THE MUSEUM CLOSED TOMORROW,IS THE MUSEUM CLOSED TOMORROW,IS THE MUSEUM CLOSED TOMORROW
36,declaritive,THE ANIMAL'S BONES ARE AT THE MUSEUM.,THE ANIMAL'S BONES ARE AT THE MUSEUM,ME ANYMORE AS BRONZE ARE AT THE MUSEUM,THE ANIMAS BONES AR ET THE NUW ZEAM,THE ANIMALS BONS ARE AT THE MUSEUM, THE ANIMALS BONES ARE AT THE MUSEUM,THE ANIMALS BONES ARE AT THE MUSEUM,THE ANIMALS BONES ARE AT THE MUSEUM
37,declaritive,I'M HAPPY TO JOIN.,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOLLY,I'M HAPPY TO JOY, I'M HAPPY TO JOIN YOU,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN
38,declaritive,THIS ANIMAL IS BIG AND SCARY.,THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BEING AND CARE,THIS ANIMAL IS BIG AND SCARE,THIS ANIMAL IS BIG AND SCARE, THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY
39,declaritive,IT IS SMART.,IT IS SMART,HE THIS IS SMART,EGISTHIS MARK,IT IS ESMARK, IT IS SMART,HEY THIS IS SMART,IT IS SMART
40,interrogative,DO YOU WANT SOME CAKE?,DO YOU WANT SOME CAKE,THE ON SOUNDCLOUD,DO RUNS DOWN CAT,DO YO LIN SOM KAG, DO YOUR RUNS OKAY,DO YOU WANT SOME CAKE,DO YOU WANT SOME CAKE
41,exclamatory,IT'S GOOD TO SEE YOU!,IT'S GOOD TO SEE YOU,AIR IT'S GOOD TO SEE YOU,AND GOOD TO SEEYOU,A' GOOD TO SEE YOU, IT'S GOOD TO SEE YOU,IT'S GOOD TO SEE YOU,IT'S GOOD TO SEE YOU
42,interrogative,ARE YOU READY TO GO INSIDE?,ARE YOU READY TO GO INSIDE,FOLLOW YOUR LEAD TO GO INSIDE,A A LUDY DO GO HE THOUGHT,FOR E LOVY TOO GO IN SA, ARE YOU READY TO GO INSIDE,ARE YOU READY TO GO INSIDE,ARE YOU READY TO GO INSIDE
43,exclamatory,ENJOY YOUR DINNER!,ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY EURADINA,ENJOY YOUR DINNER, ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY YOUR DINNER
44,declaritive,THIS ANIMAL IS BIG AND SCARY.,THIS ANIMAL IS BIG AND SCARY,THIS ANYMORE AS BIG AND SCARY,THIS ANIMAL IS BIG A SCARRY,THIS ANIMAL IS BIG AN SCURRY, THIS ANIMAL IS BIG AS SCURRY,THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY
45,declaritive,I LIKE SOCCER.,I LIKE SOCCER,I LIVESTOCK CORE,IRONIE SACKOR,AYI SACCOR, I LIKE SOCCER,I LIKE SOCCER,I LIKE SOCCER
