ID,Sentence_Type,Sentence_Original,STANDARD_TRANSCRIPT,vosk-model-small-en-us-0.15,Wav2vec2,HuBERT,Whisper_Base-En,Whisper_Large-v3-EN,Azure,Comprehensibility_Fair_Avg,Accentedness_Fair_Avg,Azure_Pronunciation,Kaldi_GOP,WER_vosk-model-small-en-us-0.15,WER_Wav2vec2,WER_HuBERT,WER_Base-En,WER_Large-v3-EN,WER_Azure
1,interrogative,HOW DO WE GET THERE?,HOW DO WE GET THERE,OH DO WE GET THERE,OLL DULY GET THERE,HOW DO WE GET THERE, OH DO WE GET THERE,HOW DO WE GET THERE,HOW DO WE GET THERE,3.22,5.53,96.4,6,0.2,0.6,0,0.2,0,0
2,declaritive,GOOD AFTERNOON.,GOOD AFTERNOON,GOOD AFTERNOON,AN WHAT  AV TON YE,GOOODA AFTERMEN, COME ON AFTER ME,GOOD AFTERNOON,GOOD AFTERNOON,4.43,6.01,61.6,6,0,2.5,1,2,0,0
3,declaritive,THIS IS KUMAR.,THIS IS KUMAR,DCS KUMAR,THEY SAYS CUMAR,THEY SAYS KOUMAR, THIS IS KUMAR,THIS IS KUMAR,THIS IS KUMAR,4.04,6.01,95.8,25,0.67,1,1,0,0,0
4,declaritive,I THINK SO.,I THINK SO,HELLO GAMES GO,AND GAN STYLE,A GAMESTALL, TAKE THE INSULT,I THINK SO,I THINK SO,4.04,6.01,76.6,18,1,1,1,1,0,0
5,exclamatory,WATCH OUT!,WATCH OUT,WATCH OUT,WATCH OUT,WATCH OUT, WATCH OUT,WATCH OUT,WATCH OUT,3.69,5.53,91,6,0,0,0,0,0,0
6,declaritive,HE IS A NEW STUDENT.,HE IS A NEW STUDENT,HE IS ON THE NEWS TO THE,HE IS AN A NEWR STUDEN,HE IS A NED TO TENT, HE IS A NEW STUDENT,HE IS A NEW STUDENT,HE IS A NEW STUDENT,5.55,6.98,83.8,29,1,0.6,0.6,0,0,0
7,interrogative,ANYTHING ELSE?,ANYTHING ELSE,ANYTHING ELSE,A DN S,ANYTHING ELSE, ANYTHING ELSE,ANYTHING ELSE,ANYTHING ELSE,2.51,5.02,91.4,18,0,1.5,0,0,0,0
8,exclamatory,OUR TEAM IS THE BEST!,OUR TEAM IS THE BEST,RIGHT P IS THAT BASS,ARANTIN IS THE BAT,OUR TEAM IS THE BEST, OUR TEAM IS THE BEST,OUR TEAM IS THE BEST,OUR TEAM IS THE BEST,4.43,6.01,98.4,16,0.8,0.6,0,0,0,0
9,interrogative,WHERE ARE THE ANIMALS?,WHERE ARE THE ANIMALS,THERE AREN'T ANY RULES,ARN THE ANNALS,ERAARD DIANUS, OUR THE ANIMALS,THERE ARE THE ANIMALS,WHERE ARE THE ANIMALS,4.99,6.98,60.6,26,1,0.75,1,0.5,0.25,0
10,declaritive,FOLLOW ME.,FOLLOW ME,OH NO,ALO ME,FOLLOW ME, FOLLOW ME,FOLLOW ME,FOLLOW ME,3.22,6.01,64,20,1,0.5,0,0,0,0
